interview__key,sdd_hhid,itemcode,hh_l01,hh_l02a,hh_l02b,hh_l03
61-13-18-51,0603-001-002,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
61-13-18-51,0603-001-002,COUNCIL RATES,NO,,,
61-13-18-51,0603-001-002,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
61-13-18-51,0603-001-002,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
61-13-18-51,0603-001-002,FINES OR LEGAL FEES,NO,,,
61-13-18-51,0603-001-002,BRIDE PRICE /MARRIAGE COSTS,NO,,,
61-13-18-51,0603-001-002,FUNERAL COSTS,YES,2500,,
61-13-18-51,0603-001-002,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
61-13-18-51,0603-001-002,REPAIRS TO CONSUMER DURABLES,NO,,,
61-13-18-51,0603-001-002,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
61-13-18-51,0603-001-002,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
61-13-18-51,0603-001-002,GARMENTS FOR MEN,NO,,,
61-13-18-51,0603-001-002,GARMENTS FOR WOMEN,NO,,,
61-13-18-51,0603-001-002,GARMENTS FOR CHILDREN & BABIES,NO,,,
61-13-18-51,0603-001-002,FOOTWEAR FOR MEN,NO,,,
61-13-18-51,0603-001-002,FOOTWEAR FOR WOMEN,YES,6000,,
61-13-18-51,0603-001-002,FOOTWEAR FOR CHILDREN AND BABIES,NO,,,
61-13-18-51,0603-001-002,"WOOD POLES, BAMBOO",YES,,110000,110000
61-13-18-51,0603-001-002,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
98-16-55-70,0604-001-001,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
98-16-55-70,0604-001-001,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
98-16-55-70,0604-001-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
98-16-55-70,0604-001-001,MOSQUITO NET,NO,,,
98-16-55-70,0604-001-001,MATTRESS,NO,,,
98-16-55-70,0604-001-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
98-16-55-70,0604-001-001,"FILM, FILM PROCESSING, CAMERA",NO,,,
98-16-55-70,0604-001-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
98-16-55-70,0604-001-001,COUNCIL RATES,NO,,,
98-16-55-70,0604-001-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
98-16-55-70,0604-001-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
98-16-55-70,0604-001-001,FINES OR LEGAL FEES,NO,,,
98-16-55-70,0604-001-001,BRIDE PRICE /MARRIAGE COSTS,YES,7000,,
98-16-55-70,0604-001-001,FUNERAL COSTS,YES,16000,,
98-16-55-70,0604-001-001,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
98-16-55-70,0604-001-001,REPAIRS TO CONSUMER DURABLES,,,,
98-16-55-70,0604-001-001,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
98-16-55-70,0604-001-001,REPAIRS & MAINTENANCE TO DWELLING,,,,
98-16-55-70,0604-001-001,GARMENTS FOR MEN,YES,0,,
98-16-55-70,0604-001-001,GARMENTS FOR WOMEN,YES,50000,,
98-16-55-70,0604-001-001,GARMENTS FOR CHILDREN & BABIES,YES,22000,,
98-16-55-70,0604-001-001,FOOTWEAR FOR MEN,YES,0,,
98-16-55-70,0604-001-001,FOOTWEAR FOR WOMEN,YES,12000,,
98-16-55-70,0604-001-001,FOOTWEAR FOR CHILDREN AND BABIES,YES,8000,,
98-16-55-70,0604-001-001,"WOOD POLES, BAMBOO",NO,,,
98-16-55-70,0604-001-001,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
84-29-07-25,0605-001-001,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
84-29-07-25,0605-001-001,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
84-29-07-25,0605-001-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
84-29-07-25,0605-001-001,MOSQUITO NET,NO,,,
84-29-07-25,0605-001-001,MATTRESS,NO,,,
84-29-07-25,0605-001-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
84-29-07-25,0605-001-001,"FILM, FILM PROCESSING, CAMERA",NO,,,
84-29-07-25,0605-001-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
84-29-07-25,0605-001-001,COUNCIL RATES,NO,,,
84-29-07-25,0605-001-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
84-29-07-25,0605-001-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
84-29-07-25,0605-001-001,FINES OR LEGAL FEES,NO,,,
84-29-07-25,0605-001-001,BRIDE PRICE /MARRIAGE COSTS,NO,,,
84-29-07-25,0605-001-001,FUNERAL COSTS,YES,2000,,
84-29-07-25,0605-001-001,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
84-29-07-25,0605-001-001,REPAIRS TO CONSUMER DURABLES,NO,,,
84-29-07-25,0605-001-001,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
84-29-07-25,0605-001-001,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
84-29-07-25,0605-001-001,GARMENTS FOR MEN,YES,10000,,
84-29-07-25,0605-001-001,GARMENTS FOR WOMEN,YES,7000,,
84-29-07-25,0605-001-001,GARMENTS FOR CHILDREN & BABIES,YES,7500,,
84-29-07-25,0605-001-001,FOOTWEAR FOR MEN,NO,,,
84-29-07-25,0605-001-001,FOOTWEAR FOR WOMEN,NO,,,
84-29-07-25,0605-001-001,FOOTWEAR FOR CHILDREN AND BABIES,NO,,,
84-29-07-25,0605-001-001,"WOOD POLES, BAMBOO",YES,,15000,15000
84-29-07-25,0605-001-001,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
59-14-73-55,0606-001-001,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
59-14-73-55,0606-001-001,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
59-14-73-55,0606-001-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
59-14-73-55,0606-001-001,MOSQUITO NET,NO,,,
59-14-73-55,0606-001-001,MATTRESS,NO,,,
59-14-73-55,0606-001-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
59-14-73-55,0606-001-001,"FILM, FILM PROCESSING, CAMERA",NO,,,
59-14-73-55,0606-001-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
59-14-73-55,0606-001-001,COUNCIL RATES,NO,,,
59-14-73-55,0606-001-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
59-14-73-55,0606-001-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
59-14-73-55,0606-001-001,FINES OR LEGAL FEES,NO,,,
59-14-73-55,0606-001-001,BRIDE PRICE /MARRIAGE COSTS,NO,,,
59-14-73-55,0606-001-001,FUNERAL COSTS,YES,1000,,
59-14-73-55,0606-001-001,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
59-14-73-55,0606-001-001,REPAIRS TO CONSUMER DURABLES,NO,,,
59-14-73-55,0606-001-001,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
59-14-73-55,0606-001-001,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
59-14-73-55,0606-001-001,GARMENTS FOR MEN,YES,10000,,
59-14-73-55,0606-001-001,GARMENTS FOR WOMEN,YES,15000,,
59-14-73-55,0606-001-001,GARMENTS FOR CHILDREN & BABIES,YES,20000,,
59-14-73-55,0606-001-001,FOOTWEAR FOR MEN,YES,5000,,
59-14-73-55,0606-001-001,FOOTWEAR FOR WOMEN,YES,12000,,
59-14-73-55,0606-001-001,FOOTWEAR FOR CHILDREN AND BABIES,YES,10000,,
59-14-73-55,0606-001-001,"WOOD POLES, BAMBOO",NO,,,
59-14-73-55,0606-001-001,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
51-08-90-35,0607-001-001,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
51-08-90-35,0607-001-001,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
51-08-90-35,0607-001-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
51-08-90-35,0607-001-001,MOSQUITO NET,NO,,,
51-08-90-35,0607-001-001,MATTRESS,NO,,,
51-08-90-35,0607-001-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
51-08-90-35,0607-001-001,"FILM, FILM PROCESSING, CAMERA",NO,,,
51-08-90-35,0607-001-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
51-08-90-35,0607-001-001,COUNCIL RATES,NO,,,
51-08-90-35,0607-001-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
51-08-90-35,0607-001-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
51-08-90-35,0607-001-001,FINES OR LEGAL FEES,NO,,,
51-08-90-35,0607-001-001,BRIDE PRICE /MARRIAGE COSTS,NO,,,
51-08-90-35,0607-001-001,FUNERAL COSTS,NO,,,
51-08-90-35,0607-001-001,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
51-08-90-35,0607-001-001,REPAIRS TO CONSUMER DURABLES,NO,,,
51-08-90-35,0607-001-001,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
51-08-90-35,0607-001-001,REPAIRS & MAINTENANCE TO DWELLING,YES,1300000,,
51-08-90-35,0607-001-001,GARMENTS FOR MEN,YES,80000,,
51-08-90-35,0607-001-001,GARMENTS FOR WOMEN,YES,50000,,
51-08-90-35,0607-001-001,GARMENTS FOR CHILDREN & BABIES,YES,30500,,
51-08-90-35,0607-001-001,FOOTWEAR FOR MEN,YES,45000,,
51-08-90-35,0607-001-001,FOOTWEAR FOR WOMEN,YES,30000,,
51-08-90-35,0607-001-001,FOOTWEAR FOR CHILDREN AND BABIES,YES,10000,,
51-08-90-35,0607-001-001,"WOOD POLES, BAMBOO",NO,,,
51-08-90-35,0607-001-001,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
94-70-48-92,0607-001-010,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
94-70-48-92,0607-001-010,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
94-70-48-92,0607-001-010,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
94-70-48-92,0607-001-010,MOSQUITO NET,NO,,,
94-70-48-92,0607-001-010,MATTRESS,NO,,,
94-70-48-92,0607-001-010,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
94-70-48-92,0607-001-010,"FILM, FILM PROCESSING, CAMERA",NO,,,
94-70-48-92,0607-001-010,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
94-70-48-92,0607-001-010,COUNCIL RATES,NO,,,
94-70-48-92,0607-001-010,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
94-70-48-92,0607-001-010,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
94-70-48-92,0607-001-010,FINES OR LEGAL FEES,NO,,,
94-70-48-92,0607-001-010,BRIDE PRICE /MARRIAGE COSTS,NO,,,
94-70-48-92,0607-001-010,FUNERAL COSTS,NO,,,
94-70-48-92,0607-001-010,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
94-70-48-92,0607-001-010,REPAIRS TO CONSUMER DURABLES,NO,,,
94-70-48-92,0607-001-010,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
94-70-48-92,0607-001-010,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
94-70-48-92,0607-001-010,GARMENTS FOR MEN,YES,10000,,
94-70-48-92,0607-001-010,GARMENTS FOR WOMEN,YES,15000,,
94-70-48-92,0607-001-010,GARMENTS FOR CHILDREN & BABIES,YES,12000,,
94-70-48-92,0607-001-010,FOOTWEAR FOR MEN,NO,,,
94-70-48-92,0607-001-010,FOOTWEAR FOR WOMEN,YES,2500,,
94-70-48-92,0607-001-010,FOOTWEAR FOR CHILDREN AND BABIES,YES,1500,,
94-70-48-92,0607-001-010,"WOOD POLES, BAMBOO",NO,,,
94-70-48-92,0607-001-010,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
96-10-55-67,0607-007-001,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
96-10-55-67,0607-007-001,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
96-10-55-67,0607-007-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
96-10-55-67,0607-007-001,MOSQUITO NET,NO,,,
96-10-55-67,0607-007-001,MATTRESS,NO,,,
96-10-55-67,0607-007-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
96-10-55-67,0607-007-001,"FILM, FILM PROCESSING, CAMERA",NO,,,
96-10-55-67,0607-007-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
96-10-55-67,0607-007-001,COUNCIL RATES,NO,,,
96-10-55-67,0607-007-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
96-10-55-67,0607-007-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
96-10-55-67,0607-007-001,FINES OR LEGAL FEES,NO,,,
96-10-55-67,0607-007-001,BRIDE PRICE /MARRIAGE COSTS,NO,,,
96-10-55-67,0607-007-001,FUNERAL COSTS,NO,,,
96-10-55-67,0607-007-001,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
96-10-55-67,0607-007-001,REPAIRS TO CONSUMER DURABLES,NO,,,
96-10-55-67,0607-007-001,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
96-10-55-67,0607-007-001,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
96-10-55-67,0607-007-001,GARMENTS FOR MEN,YES,200000,,
96-10-55-67,0607-007-001,GARMENTS FOR WOMEN,YES,250000,,
96-10-55-67,0607-007-001,GARMENTS FOR CHILDREN & BABIES,YES,60000,,
96-10-55-67,0607-007-001,FOOTWEAR FOR MEN,YES,5000,,
96-10-55-67,0607-007-001,FOOTWEAR FOR WOMEN,YES,80000,,
96-10-55-67,0607-007-001,FOOTWEAR FOR CHILDREN AND BABIES,YES,10000,,
96-10-55-67,0607-007-001,"WOOD POLES, BAMBOO",NO,,,
96-10-55-67,0607-007-001,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
69-19-17-73,0608-001-001,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
69-19-17-73,0608-001-001,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
69-19-17-73,0608-001-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
69-19-17-73,0608-001-001,MOSQUITO NET,NO,,,
69-19-17-73,0608-001-001,MATTRESS,NO,,,
69-19-17-73,0608-001-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
69-19-17-73,0608-001-001,"FILM, FILM PROCESSING, CAMERA",NO,,,
69-19-17-73,0608-001-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
69-19-17-73,0608-001-001,COUNCIL RATES,NO,,,
69-19-17-73,0608-001-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",,,,
69-19-17-73,0608-001-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),,,,
69-19-17-73,0608-001-001,FINES OR LEGAL FEES,,,,
69-19-17-73,0608-001-001,BRIDE PRICE /MARRIAGE COSTS,,,,
69-19-17-73,0608-001-001,FUNERAL COSTS,YES,24000,,
69-19-17-73,0608-001-001,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
69-19-17-73,0608-001-001,REPAIRS TO CONSUMER DURABLES,NO,,,
69-19-17-73,0608-001-001,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
69-19-17-73,0608-001-001,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
69-19-17-73,0608-001-001,GARMENTS FOR MEN,YES,30000,,
69-19-17-73,0608-001-001,GARMENTS FOR WOMEN,YES,44000,,
69-19-17-73,0608-001-001,GARMENTS FOR CHILDREN & BABIES,YES,22000,,
69-19-17-73,0608-001-001,FOOTWEAR FOR MEN,NO,,,
69-19-17-73,0608-001-001,FOOTWEAR FOR WOMEN,NO,,,
69-19-17-73,0608-001-001,FOOTWEAR FOR CHILDREN AND BABIES,NO,,,
69-19-17-73,0608-001-001,"WOOD POLES, BAMBOO",YES,,21000,35000
69-19-17-73,0608-001-001,GRASS FOR THATCHING ROOF OR OTHER USE,YES,,7000,7000
08-01-84-64,0608-001-006,"CARPET, RUGS, DRAPES, CURTAINS",YES,5000,,
08-01-84-64,0608-001-006,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
08-01-84-64,0608-001-006,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,YES,3000,,
08-01-84-64,0608-001-006,MOSQUITO NET,NO,,,
08-01-84-64,0608-001-006,MATTRESS,NO,,,
08-01-84-64,0608-001-006,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
08-01-84-64,0608-001-006,"FILM, FILM PROCESSING, CAMERA",NO,,,
08-01-84-64,0608-001-006,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
08-01-84-64,0608-001-006,COUNCIL RATES,NO,,,
08-01-84-64,0608-001-006,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
08-01-84-64,0608-001-006,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
08-01-84-64,0608-001-006,FINES OR LEGAL FEES,NO,,,
08-01-84-64,0608-001-006,BRIDE PRICE /MARRIAGE COSTS,YES,10000,,
08-01-84-64,0608-001-006,FUNERAL COSTS,NO,,,
08-01-84-64,0608-001-006,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
08-01-84-64,0608-001-006,REPAIRS TO CONSUMER DURABLES,NO,,,
08-01-84-64,0608-001-006,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
08-01-84-64,0608-001-006,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
08-01-84-64,0608-001-006,GARMENTS FOR MEN,YES,30000,,
08-01-84-64,0608-001-006,GARMENTS FOR WOMEN,YES,30000,,
08-01-84-64,0608-001-006,GARMENTS FOR CHILDREN & BABIES,YES,20000,,
08-01-84-64,0608-001-006,FOOTWEAR FOR MEN,YES,12000,,
08-01-84-64,0608-001-006,FOOTWEAR FOR WOMEN,NO,,,
08-01-84-64,0608-001-006,FOOTWEAR FOR CHILDREN AND BABIES,YES,10000,,
08-01-84-64,0608-001-006,"WOOD POLES, BAMBOO",YES,,40000,45000
08-01-84-64,0608-001-006,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
82-94-25-62,0608-003-001,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
82-94-25-62,0608-003-001,"LINEN - TOWELS, SHEETS, BLANKETS",YES,10000,,
82-94-25-62,0608-003-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
82-94-25-62,0608-003-001,MOSQUITO NET,NO,,,
82-94-25-62,0608-003-001,MATTRESS,NO,,,
82-94-25-62,0608-003-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
82-94-25-62,0608-003-001,"FILM, FILM PROCESSING, CAMERA",NO,,,
82-94-25-62,0608-003-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
82-94-25-62,0608-003-001,COUNCIL RATES,NO,,,
82-94-25-62,0608-003-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
82-94-25-62,0608-003-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
82-94-25-62,0608-003-001,FINES OR LEGAL FEES,NO,,,
82-94-25-62,0608-003-001,BRIDE PRICE /MARRIAGE COSTS,NO,,,
82-94-25-62,0608-003-001,FUNERAL COSTS,NO,,,
82-94-25-62,0608-003-001,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
82-94-25-62,0608-003-001,REPAIRS TO CONSUMER DURABLES,NO,,,
82-94-25-62,0608-003-001,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
82-94-25-62,0608-003-001,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
82-94-25-62,0608-003-001,GARMENTS FOR MEN,YES,32000,,
82-94-25-62,0608-003-001,GARMENTS FOR WOMEN,YES,45000,,
82-94-25-62,0608-003-001,GARMENTS FOR CHILDREN & BABIES,YES,70000,,
82-94-25-62,0608-003-001,FOOTWEAR FOR MEN,YES,15000,,
82-94-25-62,0608-003-001,FOOTWEAR FOR WOMEN,YES,10000,,
82-94-25-62,0608-003-001,FOOTWEAR FOR CHILDREN AND BABIES,YES,21000,,
82-94-25-62,0608-003-001,"WOOD POLES, BAMBOO",YES,,15000,0
82-94-25-62,0608-003-001,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
34-57-76-92,0609-001-002,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
34-57-76-92,0609-001-002,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
34-57-76-92,0609-001-002,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
34-57-76-92,0609-001-002,MOSQUITO NET,NO,,,
34-57-76-92,0609-001-002,MATTRESS,NO,,,
34-57-76-92,0609-001-002,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
34-57-76-92,0609-001-002,"FILM, FILM PROCESSING, CAMERA",NO,,,
34-57-76-92,0609-001-002,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
34-57-76-92,0609-001-002,COUNCIL RATES,NO,,,
34-57-76-92,0609-001-002,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
34-57-76-92,0609-001-002,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
34-57-76-92,0609-001-002,FINES OR LEGAL FEES,NO,,,
34-57-76-92,0609-001-002,BRIDE PRICE /MARRIAGE COSTS,NO,,,
34-57-76-92,0609-001-002,FUNERAL COSTS,NO,,,
34-57-76-92,0609-001-002,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
34-57-76-92,0609-001-002,REPAIRS TO CONSUMER DURABLES,NO,,,
34-57-76-92,0609-001-002,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
34-57-76-92,0609-001-002,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
34-57-76-92,0609-001-002,GARMENTS FOR MEN,NO,,,
34-57-76-92,0609-001-002,GARMENTS FOR WOMEN,YES,15000,,
34-57-76-92,0609-001-002,GARMENTS FOR CHILDREN & BABIES,NO,,,
34-57-76-92,0609-001-002,FOOTWEAR FOR MEN,NO,,,
34-57-76-92,0609-001-002,FOOTWEAR FOR WOMEN,NO,,,
34-57-76-92,0609-001-002,FOOTWEAR FOR CHILDREN AND BABIES,NO,,,
34-57-76-92,0609-001-002,"WOOD POLES, BAMBOO",YES,,72000,0
34-57-76-92,0609-001-002,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
22-33-98-93,0610-001-001,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
22-33-98-93,0610-001-001,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
22-33-98-93,0610-001-001,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
22-33-98-93,0610-001-001,MOSQUITO NET,NO,,,
22-33-98-93,0610-001-001,MATTRESS,NO,,,
22-33-98-93,0610-001-001,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
22-33-98-93,0610-001-001,"FILM, FILM PROCESSING, CAMERA",NO,,,
22-33-98-93,0610-001-001,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
22-33-98-93,0610-001-001,COUNCIL RATES,NO,,,
22-33-98-93,0610-001-001,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
22-33-98-93,0610-001-001,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
22-33-98-93,0610-001-001,FINES OR LEGAL FEES,NO,,,
22-33-98-93,0610-001-001,BRIDE PRICE /MARRIAGE COSTS,NO,,,
22-33-98-93,0610-001-001,FUNERAL COSTS,NO,,,
22-33-98-93,0610-001-001,OTHER COSTS NOT STATED ELSEWHERE,NO,,,
22-33-98-93,0610-001-001,REPAIRS TO CONSUMER DURABLES,NO,,,
22-33-98-93,0610-001-001,"TAXES FOR INCOME, PROPERTY, ETC.",NO,,,
22-33-98-93,0610-001-001,REPAIRS & MAINTENANCE TO DWELLING,NO,,,
22-33-98-93,0610-001-001,GARMENTS FOR MEN,YES,10000,,
22-33-98-93,0610-001-001,GARMENTS FOR WOMEN,YES,45000,,
22-33-98-93,0610-001-001,GARMENTS FOR CHILDREN & BABIES,YES,21000,,
22-33-98-93,0610-001-001,FOOTWEAR FOR MEN,YES,2500,,
22-33-98-93,0610-001-001,FOOTWEAR FOR WOMEN,YES,3500,,
22-33-98-93,0610-001-001,FOOTWEAR FOR CHILDREN AND BABIES,YES,3500,,
22-33-98-93,0610-001-001,"WOOD POLES, BAMBOO",YES,,50000,0
22-33-98-93,0610-001-001,GRASS FOR THATCHING ROOF OR OTHER USE,NO,,,
57-51-12-00,0610-001-003,"CARPET, RUGS, DRAPES, CURTAINS",NO,,,
57-51-12-00,0610-001-003,"LINEN - TOWELS, SHEETS, BLANKETS",NO,,,
57-51-12-00,0610-001-003,MAT - SLEEPING OR FOR DRYING MAIZE FLOUR,NO,,,
57-51-12-00,0610-001-003,MOSQUITO NET,NO,,,
57-51-12-00,0610-001-003,MATTRESS,NO,,,
57-51-12-00,0610-001-003,"SPORTS & HOBBY EQUIPMENT, MUSICAL INSTRUMENTS, TOYS",NO,,,
57-51-12-00,0610-001-003,"FILM, FILM PROCESSING, CAMERA",NO,,,
57-51-12-00,0610-001-003,"BUILDING ITEMS - CEMENT, BRICKS, TIMBER, IRON SHEETS, TOOLS, ETC.",NO,,,
57-51-12-00,0610-001-003,COUNCIL RATES,NO,,,
57-51-12-00,0610-001-003,"INSURANCE - HEALTH (MASM, ETC.), AUTO,  HOME, LIFE",NO,,,
57-51-12-00,0610-001-003,LOSSES TO THEFT (VALUE OF ITEMS OR CASH LOST),NO,,,
57-51-12-00,0610-001-003,FINES OR LEGAL FEES,NO,,,
57-51-12-00,0610-001-003,BRIDE PRICE /MARRIAGE COSTS,NO,,,
57-51-12-00,0610-001-003,FUNERAL COSTS,YES,1000,,
57-51-12-00,0610-001-003,OTHER COSTS NOT STATED ELSEWHERE,,,,
