interview__key,sdd_hhid,itemcode,hh_k01,hh_k02
79-31-15-72,0754-001-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,5000
79-31-15-72,0754-001-001,CLOTHES SOAP (POWDER),YES,2000
79-31-15-72,0754-001-001,"TOOTHPASTE, TOOTHBRUSH",YES,2000
79-31-15-72,0754-001-001,TOILET PAPER,NO,
79-31-15-72,0754-001-001,"GLYCERINE, VASELINE, SKIN CREAMS",YES,2000
79-31-15-72,0754-001-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",YES,1000
79-31-15-72,0754-001-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
79-31-15-72,0754-001-001,LIGHT BULBS,NO,
79-31-15-72,0754-001-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
79-31-15-72,0754-001-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",NO,
79-31-15-72,0754-001-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
79-31-15-72,0754-001-001,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
79-31-15-72,0754-001-001,WAGES PAID TO SERVANTS,NO,
79-31-15-72,0754-001-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
79-31-15-72,0754-001-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
33-76-14-08,0755-001-001,CIGARETTES OR TOBACCO,NO,
33-76-14-08,0755-001-001,MATCHES,YES,100
33-76-14-08,0755-001-001,PUBLIC TRANSPORT,YES,5000
33-76-14-08,0755-001-001,KEROSENE,NO,
33-76-14-08,0755-001-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
33-76-14-08,0755-001-001,GAS (FOR LIGHTING/COOKING),NO,
33-76-14-08,0755-001-001,WATER,NO,
33-76-14-08,0755-001-001,PETROL OR DIESEL,NO,
33-76-14-08,0755-001-001,CELL PHONE VOUCHER,YES,10000
33-76-14-08,0755-001-001,CHARCOAL,NO,
33-76-14-08,0755-001-001,"MILLING FEES, GRAIN",NO,
33-76-14-08,0755-001-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,4000
33-76-14-08,0755-001-001,CLOTHES SOAP (POWDER),YES,1500
33-76-14-08,0755-001-001,"TOOTHPASTE, TOOTHBRUSH",YES,2500
33-76-14-08,0755-001-001,TOILET PAPER,NO,
33-76-14-08,0755-001-001,"GLYCERINE, VASELINE, SKIN CREAMS",YES,2000
33-76-14-08,0755-001-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",YES,1000
33-76-14-08,0755-001-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
33-76-14-08,0755-001-001,LIGHT BULBS,NO,
33-76-14-08,0755-001-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
33-76-14-08,0755-001-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",NO,
33-76-14-08,0755-001-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
33-76-14-08,0755-001-001,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
33-76-14-08,0755-001-001,WAGES PAID TO SERVANTS,NO,
33-76-14-08,0755-001-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
33-76-14-08,0755-001-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
68-57-50-23,0756-001-001,CIGARETTES OR TOBACCO,NO,
68-57-50-23,0756-001-001,MATCHES,YES,100
68-57-50-23,0756-001-001,PUBLIC TRANSPORT,NO,
68-57-50-23,0756-001-001,KEROSENE,NO,
68-57-50-23,0756-001-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",,
68-57-50-23,0756-001-001,GAS (FOR LIGHTING/COOKING),NO,
68-57-50-23,0756-001-001,WATER,YES,12000
68-57-50-23,0756-001-001,PETROL OR DIESEL,NO,
68-57-50-23,0756-001-001,CELL PHONE VOUCHER,YES,30000
68-57-50-23,0756-001-001,CHARCOAL,NO,
68-57-50-23,0756-001-001,"MILLING FEES, GRAIN",YES,3000
68-57-50-23,0756-001-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,4000
68-57-50-23,0756-001-001,CLOTHES SOAP (POWDER),YES,2000
68-57-50-23,0756-001-001,"TOOTHPASTE, TOOTHBRUSH",NO,
68-57-50-23,0756-001-001,TOILET PAPER,NO,
68-57-50-23,0756-001-001,"GLYCERINE, VASELINE, SKIN CREAMS",YES,2000
68-57-50-23,0756-001-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",NO,
68-57-50-23,0756-001-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
68-57-50-23,0756-001-001,LIGHT BULBS,NO,
68-57-50-23,0756-001-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
68-57-50-23,0756-001-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",YES,10000
68-57-50-23,0756-001-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
68-57-50-23,0756-001-001,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
68-57-50-23,0756-001-001,WAGES PAID TO SERVANTS,NO,
68-57-50-23,0756-001-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
68-57-50-23,0756-001-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
29-44-66-61,0756-001-003,CIGARETTES OR TOBACCO,,
29-44-66-61,0756-001-003,MATCHES,YES,100
29-44-66-61,0756-001-003,PUBLIC TRANSPORT,NO,
29-44-66-61,0756-001-003,KEROSENE,YES,1600
29-44-66-61,0756-001-003,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
29-44-66-61,0756-001-003,GAS (FOR LIGHTING/COOKING),NO,
29-44-66-61,0756-001-003,WATER,YES,10000
29-44-66-61,0756-001-003,PETROL OR DIESEL,NO,
29-44-66-61,0756-001-003,CELL PHONE VOUCHER,YES,2000
29-44-66-61,0756-001-003,CHARCOAL,NO,
29-44-66-61,0756-001-003,"MILLING FEES, GRAIN",YES,3200
29-44-66-61,0756-001-003,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,6000
29-44-66-61,0756-001-003,CLOTHES SOAP (POWDER),YES,14000
29-44-66-61,0756-001-003,"TOOTHPASTE, TOOTHBRUSH",NO,
29-44-66-61,0756-001-003,TOILET PAPER,NO,
29-44-66-61,0756-001-003,"GLYCERINE, VASELINE, SKIN CREAMS",YES,1500
29-44-66-61,0756-001-003,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",NO,
29-44-66-61,0756-001-003,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
29-44-66-61,0756-001-003,LIGHT BULBS,NO,
29-44-66-61,0756-001-003,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
29-44-66-61,0756-001-003,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",NO,
29-44-66-61,0756-001-003,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
29-44-66-61,0756-001-003,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
29-44-66-61,0756-001-003,WAGES PAID TO SERVANTS,NO,
29-44-66-61,0756-001-003,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
29-44-66-61,0756-001-003,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
77-60-75-93,0757-001-001,CIGARETTES OR TOBACCO,NO,
77-60-75-93,0757-001-001,MATCHES,YES,100
77-60-75-93,0757-001-001,PUBLIC TRANSPORT,NO,
77-60-75-93,0757-001-001,KEROSENE,NO,
77-60-75-93,0757-001-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
77-60-75-93,0757-001-001,GAS (FOR LIGHTING/COOKING),NO,
77-60-75-93,0757-001-001,WATER,YES,9600
77-60-75-93,0757-001-001,PETROL OR DIESEL,NO,
77-60-75-93,0757-001-001,CELL PHONE VOUCHER,YES,30000
77-60-75-93,0757-001-001,CHARCOAL,NO,
77-60-75-93,0757-001-001,"MILLING FEES, GRAIN",YES,3000
77-60-75-93,0757-001-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,4000
77-60-75-93,0757-001-001,CLOTHES SOAP (POWDER),YES,2000
77-60-75-93,0757-001-001,"TOOTHPASTE, TOOTHBRUSH",NO,
77-60-75-93,0757-001-001,TOILET PAPER,NO,
77-60-75-93,0757-001-001,"GLYCERINE, VASELINE, SKIN CREAMS",YES,1000
77-60-75-93,0757-001-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",NO,
77-60-75-93,0757-001-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
77-60-75-93,0757-001-001,LIGHT BULBS,NO,
77-60-75-93,0757-001-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
77-60-75-93,0757-001-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",YES,7000
77-60-75-93,0757-001-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",YES,22000
77-60-75-93,0757-001-001,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
77-60-75-93,0757-001-001,WAGES PAID TO SERVANTS,NO,
77-60-75-93,0757-001-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
77-60-75-93,0757-001-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
29-14-45-66,0758-001-001,CIGARETTES OR TOBACCO,NO,
29-14-45-66,0758-001-001,MATCHES,YES,100
29-14-45-66,0758-001-001,PUBLIC TRANSPORT,YES,20000
29-14-45-66,0758-001-001,KEROSENE,NO,
29-14-45-66,0758-001-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
29-14-45-66,0758-001-001,GAS (FOR LIGHTING/COOKING),NO,
29-14-45-66,0758-001-001,WATER,NO,
29-14-45-66,0758-001-001,PETROL OR DIESEL,YES,55200
29-14-45-66,0758-001-001,CELL PHONE VOUCHER,YES,31600
29-14-45-66,0758-001-001,CHARCOAL,NO,
29-14-45-66,0758-001-001,"MILLING FEES, GRAIN",YES,3000
29-14-45-66,0758-001-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,6000
29-14-45-66,0758-001-001,CLOTHES SOAP (POWDER),YES,4500
29-14-45-66,0758-001-001,"TOOTHPASTE, TOOTHBRUSH",YES,1000
29-14-45-66,0758-001-001,TOILET PAPER,NO,
29-14-45-66,0758-001-001,"GLYCERINE, VASELINE, SKIN CREAMS",YES,1000
29-14-45-66,0758-001-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",YES,1500
29-14-45-66,0758-001-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
29-14-45-66,0758-001-001,LIGHT BULBS,NO,
29-14-45-66,0758-001-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
29-14-45-66,0758-001-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",YES,5000
29-14-45-66,0758-001-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",YES,18000
29-14-45-66,0758-001-001,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
29-14-45-66,0758-001-001,WAGES PAID TO SERVANTS,NO,
29-14-45-66,0758-001-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
29-14-45-66,0758-001-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",YES,13000
42-51-30-36,0759-001-001,CIGARETTES OR TOBACCO,NO,
42-51-30-36,0759-001-001,MATCHES,YES,100
42-51-30-36,0759-001-001,PUBLIC TRANSPORT,NO,
42-51-30-36,0759-001-001,KEROSENE,NO,
42-51-30-36,0759-001-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
42-51-30-36,0759-001-001,GAS (FOR LIGHTING/COOKING),NO,
42-51-30-36,0759-001-001,WATER,YES,6000
42-51-30-36,0759-001-001,PETROL OR DIESEL,YES,48300
42-51-30-36,0759-001-001,CELL PHONE VOUCHER,YES,6000
42-51-30-36,0759-001-001,CHARCOAL,NO,
42-51-30-36,0759-001-001,"MILLING FEES, GRAIN",NO,
42-51-30-36,0759-001-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,2000
42-51-30-36,0759-001-001,CLOTHES SOAP (POWDER),YES,1000
42-51-30-36,0759-001-001,"TOOTHPASTE, TOOTHBRUSH",NO,
42-51-30-36,0759-001-001,TOILET PAPER,,
42-51-30-36,0759-001-001,"GLYCERINE, VASELINE, SKIN CREAMS",YES,1000
42-51-30-36,0759-001-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",NO,
42-51-30-36,0759-001-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
42-51-30-36,0759-001-001,LIGHT BULBS,NO,
42-51-30-36,0759-001-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
42-51-30-36,0759-001-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",YES,50000
42-51-30-36,0759-001-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",YES,180000
42-51-30-36,0759-001-001,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
42-51-30-36,0759-001-001,WAGES PAID TO SERVANTS,NO,
42-51-30-36,0759-001-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
42-51-30-36,0759-001-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
95-00-47-94,0761-001-001,CIGARETTES OR TOBACCO,NO,
95-00-47-94,0761-001-001,MATCHES,YES,500
95-00-47-94,0761-001-001,PUBLIC TRANSPORT,YES,4500
95-00-47-94,0761-001-001,KEROSENE,YES,2500
95-00-47-94,0761-001-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
95-00-47-94,0761-001-001,GAS (FOR LIGHTING/COOKING),NO,
95-00-47-94,0761-001-001,WATER,NO,
95-00-47-94,0761-001-001,PETROL OR DIESEL,NO,
95-00-47-94,0761-001-001,CELL PHONE VOUCHER,YES,2000
95-00-47-94,0761-001-001,CHARCOAL,NO,
95-00-47-94,0761-001-001,"MILLING FEES, GRAIN",NO,
95-00-47-94,0761-001-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,3800
95-00-47-94,0761-001-001,CLOTHES SOAP (POWDER),NO,
95-00-47-94,0761-001-001,"TOOTHPASTE, TOOTHBRUSH",YES,1000
95-00-47-94,0761-001-001,TOILET PAPER,NO,
95-00-47-94,0761-001-001,"GLYCERINE, VASELINE, SKIN CREAMS",NO,
95-00-47-94,0761-001-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",NO,
95-00-47-94,0761-001-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
95-00-47-94,0761-001-001,LIGHT BULBS,NO,
95-00-47-94,0761-001-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
95-00-47-94,0761-001-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",NO,
95-00-47-94,0761-001-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
95-00-47-94,0761-001-001,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
95-00-47-94,0761-001-001,WAGES PAID TO SERVANTS,NO,
95-00-47-94,0761-001-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
95-00-47-94,0761-001-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
27-22-49-12,0762-001-001,CIGARETTES OR TOBACCO,NO,
27-22-49-12,0762-001-001,MATCHES,YES,100
27-22-49-12,0762-001-001,PUBLIC TRANSPORT,YES,2800
27-22-49-12,0762-001-001,KEROSENE,NO,
27-22-49-12,0762-001-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",YES,10000
27-22-49-12,0762-001-001,GAS (FOR LIGHTING/COOKING),NO,
27-22-49-12,0762-001-001,WATER,YES,0
27-22-49-12,0762-001-001,PETROL OR DIESEL,NO,
27-22-49-12,0762-001-001,CELL PHONE VOUCHER,YES,10000
27-22-49-12,0762-001-001,CHARCOAL,NO,
27-22-49-12,0762-001-001,"MILLING FEES, GRAIN",NO,
27-22-49-12,0762-001-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,9000
27-22-49-12,0762-001-001,CLOTHES SOAP (POWDER),YES,7500
27-22-49-12,0762-001-001,"TOOTHPASTE, TOOTHBRUSH",YES,2000
27-22-49-12,0762-001-001,TOILET PAPER,NO,
27-22-49-12,0762-001-001,"GLYCERINE, VASELINE, SKIN CREAMS",YES,2000
27-22-49-12,0762-001-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",NO,
27-22-49-12,0762-001-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
27-22-49-12,0762-001-001,LIGHT BULBS,NO,
27-22-49-12,0762-001-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
27-22-49-12,0762-001-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",NO,
27-22-49-12,0762-001-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
27-22-49-12,0762-001-001,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
27-22-49-12,0762-001-001,WAGES PAID TO SERVANTS,NO,
27-22-49-12,0762-001-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
27-22-49-12,0762-001-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
13-97-20-68,0767-001-001,CIGARETTES OR TOBACCO,NO,
13-97-20-68,0767-001-001,MATCHES,NO,
13-97-20-68,0767-001-001,PUBLIC TRANSPORT,NO,
13-97-20-68,0767-001-001,KEROSENE,NO,
13-97-20-68,0767-001-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
13-97-20-68,0767-001-001,GAS (FOR LIGHTING/COOKING),NO,
13-97-20-68,0767-001-001,WATER,NO,
13-97-20-68,0767-001-001,PETROL OR DIESEL,NO,
13-97-20-68,0767-001-001,CELL PHONE VOUCHER,YES,7000
13-97-20-68,0767-001-001,CHARCOAL,NO,
13-97-20-68,0767-001-001,"MILLING FEES, GRAIN",NO,
13-97-20-68,0767-001-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,4000
13-97-20-68,0767-001-001,CLOTHES SOAP (POWDER),YES,3500
13-97-20-68,0767-001-001,"TOOTHPASTE, TOOTHBRUSH",YES,2000
13-97-20-68,0767-001-001,TOILET PAPER,NO,
13-97-20-68,0767-001-001,"GLYCERINE, VASELINE, SKIN CREAMS",NO,
13-97-20-68,0767-001-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",NO,
13-97-20-68,0767-001-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
13-97-20-68,0767-001-001,LIGHT BULBS,NO,
13-97-20-68,0767-001-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
13-97-20-68,0767-001-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",NO,
13-97-20-68,0767-001-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
13-97-20-68,0767-001-001,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
13-97-20-68,0767-001-001,WAGES PAID TO SERVANTS,NO,
13-97-20-68,0767-001-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
13-97-20-68,0767-001-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
46-73-72-80,0768-001-001,CIGARETTES OR TOBACCO,NO,
46-73-72-80,0768-001-001,MATCHES,YES,200
46-73-72-80,0768-001-001,PUBLIC TRANSPORT,YES,3000
46-73-72-80,0768-001-001,KEROSENE,YES,10000
46-73-72-80,0768-001-001,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
46-73-72-80,0768-001-001,GAS (FOR LIGHTING/COOKING),NO,
46-73-72-80,0768-001-001,WATER,NO,
46-73-72-80,0768-001-001,PETROL OR DIESEL,NO,
46-73-72-80,0768-001-001,CELL PHONE VOUCHER,YES,5000
46-73-72-80,0768-001-001,CHARCOAL,NO,
46-73-72-80,0768-001-001,"MILLING FEES, GRAIN",NO,
46-73-72-80,0768-001-001,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,7500
46-73-72-80,0768-001-001,CLOTHES SOAP (POWDER),YES,5000
46-73-72-80,0768-001-001,"TOOTHPASTE, TOOTHBRUSH",NO,
46-73-72-80,0768-001-001,TOILET PAPER,NO,
46-73-72-80,0768-001-001,"GLYCERINE, VASELINE, SKIN CREAMS",YES,2000
46-73-72-80,0768-001-001,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",NO,
46-73-72-80,0768-001-001,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
46-73-72-80,0768-001-001,LIGHT BULBS,NO,
46-73-72-80,0768-001-001,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
46-73-72-80,0768-001-001,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",NO,
46-73-72-80,0768-001-001,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
46-73-72-80,0768-001-001,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
46-73-72-80,0768-001-001,WAGES PAID TO SERVANTS,NO,
46-73-72-80,0768-001-001,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
46-73-72-80,0768-001-001,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
83-21-43-04,0768-001-002,CIGARETTES OR TOBACCO,NO,
83-21-43-04,0768-001-002,MATCHES,YES,200
83-21-43-04,0768-001-002,PUBLIC TRANSPORT,YES,12000
83-21-43-04,0768-001-002,KEROSENE,YES,4000
83-21-43-04,0768-001-002,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",YES,60000
83-21-43-04,0768-001-002,GAS (FOR LIGHTING/COOKING),NO,
83-21-43-04,0768-001-002,WATER,YES,4000
83-21-43-04,0768-001-002,PETROL OR DIESEL,YES,30000
83-21-43-04,0768-001-002,CELL PHONE VOUCHER,YES,20000
83-21-43-04,0768-001-002,CHARCOAL,NO,
83-21-43-04,0768-001-002,"MILLING FEES, GRAIN",NO,
83-21-43-04,0768-001-002,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,5000
83-21-43-04,0768-001-002,CLOTHES SOAP (POWDER),YES,7000
83-21-43-04,0768-001-002,"TOOTHPASTE, TOOTHBRUSH",YES,4000
83-21-43-04,0768-001-002,TOILET PAPER,NO,
83-21-43-04,0768-001-002,"GLYCERINE, VASELINE, SKIN CREAMS",YES,10000
83-21-43-04,0768-001-002,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",NO,
83-21-43-04,0768-001-002,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
83-21-43-04,0768-001-002,LIGHT BULBS,NO,
83-21-43-04,0768-001-002,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
83-21-43-04,0768-001-002,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",NO,
83-21-43-04,0768-001-002,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
83-21-43-04,0768-001-002,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
83-21-43-04,0768-001-002,WAGES PAID TO SERVANTS,NO,
83-21-43-04,0768-001-002,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
83-21-43-04,0768-001-002,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
50-44-37-01,0768-001-004,CIGARETTES OR TOBACCO,NO,
50-44-37-01,0768-001-004,MATCHES,NO,
50-44-37-01,0768-001-004,PUBLIC TRANSPORT,NO,
50-44-37-01,0768-001-004,KEROSENE,YES,5000
50-44-37-01,0768-001-004,"ELECTRICITY, INCLUDING ELECTRICITY VOUCHERS",NO,
50-44-37-01,0768-001-004,GAS (FOR LIGHTING/COOKING),NO,
50-44-37-01,0768-001-004,WATER,NO,
50-44-37-01,0768-001-004,PETROL OR DIESEL,NO,
50-44-37-01,0768-001-004,CELL PHONE VOUCHER,NO,
50-44-37-01,0768-001-004,CHARCOAL,NO,
50-44-37-01,0768-001-004,"MILLING FEES, GRAIN",YES,2000
50-44-37-01,0768-001-004,BAR SOAP (BODY SOAP OR CLOTHES SOAP),YES,5000
50-44-37-01,0768-001-004,CLOTHES SOAP (POWDER),YES,3000
50-44-37-01,0768-001-004,"TOOTHPASTE, TOOTHBRUSH",NO,
50-44-37-01,0768-001-004,TOILET PAPER,NO,
50-44-37-01,0768-001-004,"GLYCERINE, VASELINE, SKIN CREAMS",YES,3000
50-44-37-01,0768-001-004,"OTHER PERSONAL PRODUCTS (SHAMPOO, RAZORBLADES, COSMETICS, HAIR PRODUCTS, ETC.)",NO,
50-44-37-01,0768-001-004,"HOUSEHOLD CLEANING PRODUCTS (DISH SOAP, TOILET CLEANSERS, ETC.)",NO,
50-44-37-01,0768-001-004,LIGHT BULBS,NO,
50-44-37-01,0768-001-004,"PHONE, INTERNET, POSTAGE STAMPS OR OTHER POSTAL FEES",NO,
50-44-37-01,0768-001-004,"DONATION - TO CHURCH, CHARITY, BEGGAR, ETC.",NO,
50-44-37-01,0768-001-004,"MOTOR VEHICLE SERVICE, REPAIR, OR PARTS",NO,
50-44-37-01,0768-001-004,"BICYCLE SERVICE, REPAIR, OR PARTS",NO,
50-44-37-01,0768-001-004,WAGES PAID TO SERVANTS,NO,
50-44-37-01,0768-001-004,MORTGAGE - REGULAR PAYMENT TO PURCHASE HOUSE,NO,
50-44-37-01,0768-001-004,"REPAIRS TO HOUSEHOLD AND PERSONAL ITEMS (RADIOS, WATCHES, ETC.)",NO,
