interview__key,sdd_hhid,plotnum,cropid,ag4b_01,ag4b_02,ag4b_03,ag4b_04,ag4b_05,ag4b_06,ag4b_08,ag4b_10_1,ag4b_10_2,ag4b_10a_1,ag4b_10a_2,ag4b_10b,ag4b_10c_1,ag4b_10c_2,ag4b_12,ag4b_13_1,ag4b_13_2,ag4b_17,ag4b_18,ag4b_19,ag4b_20,ag4b_21,ag4b_22,ag4b_23,ag4b_24_1,ag4b_24_2,ag4b_25,ag4b_26,ag4b_27,ag4b_28,ag4b_29,ag4b_30_1,ag4b_30_2
13-97-20-68,0767-001-001,3,103,YES,,,NO,,RIKUNDE,TRADITIONAL,20,KG,HAKUNA,,,HAKUNA,,,,,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
13-97-20-68,0767-001-001,5,103,YES,,,NO,,ZA KAWAIDA,TRADITIONAL,5,SMALL CUP,5,SMALL CUP,TRADITIONAL,HAKUNA,,,,,YES,INSECTS,NO,STILL IN PLOT,,,,,,,,,,,,
16-44-54-61,0773-001-003,1,103,,,,,,##N/A##,,,,,,,,,,,,,,,,,,,,,,,,,,,
77-42-27-12,0785-001-001,1,13,NO,1/4,LACK SEEDS,NO,,KIDANGA,IMPROVED,3,KG,HAKUNA,,,3,KG,10000,DUKANI/MCHUUZI,NDANI YA KIJIJI/MJI,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
92-08-19-67,0785-001-006,2,103,,,,,,##N/A##,,,,,,,,,,,,,,,,,,,,,,,,,,,
59-27-33-64,0789-001-003,2,11,NO,1/4,WAS DIVIDED,YES,SUBSTITUTE IF EITHER CROP FAILS,ZA KAWAIDA,TRADITIONAL,3,KG,3,KG,TRADITIONAL,HAKUNA,,,,,YES,ANIMALS,YES,,0.25,YES,ANIMALS,AUGUST,NOVEMBER,YES,,,10,20000,1,2
59-27-33-64,0789-001-003,3,13,NO,1/2,WAS DIVIDED,YES,SUBSTITUTE IF EITHER CROP FAILS,ZA KAWAIDA,TRADITIONAL,10,KG,10,KG,TRADITIONAL,HAKUNA,,,,,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
34-83-13-34,0840-001-002,2,103,NO,1/2,WAS DIVIDED,YES,SUBSTITUTE IF EITHER CROP FAILS,SEPIDE,TRADITIONAL,20,KG,20,KG,TRADITIONAL,HAKUNA,,,,,YES,THEFT,YES,,0.5,NO,,APRIL,HARVEST NOT YET COMPLETE,NO,40,30,200,180000,2,
70-81-71-72,0840-001-003,1,3,NO,1/2,WAS DIVIDED,YES,SUBSTITUTE IF EITHER CROP FAILS,MBEGU FUPI,TRADITIONAL,2,KG,2,KG,TRADITIONAL,HAKUNA,,,,,NO,,NO,STILL IN PLOT,,,,,,,,,,,,
55-18-26-79,0843-001-001,1,103,,,,,,##N/A##,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-80-16-97,0844-001-001,2,103,YES,,,NO,,KILIMO,TRADITIONAL,15,KG,HAKUNA,,,HAKUNA,,,,,YES,DISEASES,NO,STILL IN PLOT,,,,,,,,,,,,
15-99-63-51,0844-004-001,1,2,YES,,,NO,,SUPER,TRADITIONAL,5.25,KG,5.25,KG,TRADITIONAL,HAKUNA,,,,,NO,,YES,,1,NO,,AUGUST,DECEMBER,YES,,,250,350000,1,
